timestamp,image_path,R_mean,G_mean,B_mean,H_mean,S_mean,V_mean,env_temp,env_humidity,env_precip,env_cloudcover,env_visibility,env_solarradiation,label
2025-10-17T11:02,images/2025-10-17T11_02.jpg,137.41,189.39,240.5,105,109,240,31.5,68.69,0.0,25.0,10.0,684.0,0
2025-10-18T17:51,images/2025-10-18T17_51.jpg,212.65,111.89,39.14,12,208,212,30.6,70.96,0.0,41.0,10.0,85.0,1
2026-01-17T18:17,images/2026-01-17T18_17.jpg,197.71,190.18,183.42,15,18,197,28.9,60.46,0.0,59.5,8.7,3.0,1
2026-01-20T18:16,images/2026-01-20T18_16.jpg,198.77,194.49,192.69,10,8,198,29.0,62.02,0.1,25.0,9.0,2.0,3
2026-01-23T18:07,images/2026-01-23T18_07.jpg,199.46,173.16,152.34,13,60,199,29.4,39.23,0.0,25.0,9.7,3.0,0
2026-02-02T18:07,images/2026-02-02T18_07.jpg,132.74,105.02,87.83,12,87,132,30.2,44.51,0.0,25.0,9.2,7.0,0
2026-02-11T18:06,images/2026-02-11T18_06.jpg,192.72,149.12,113.1,14,105,192,32.4,45.86,0.0,25.0,8.5,14.0,0
2026-03-13T18:21,images/2026-03-13T18_21.jpg,172.04,150.07,136.69,12,53,172,29.7,51.72,0.2,41.0,8.5,16.0,3
2026-04-10T18:32,images/2026-04-10T18_32.jpg,191.51,179.11,165.2,16,35,191,31.8,60.54,0.0,25.0,10.0,19.0,0
2026-04-12T18:03,images/2026-04-12T18_03.jpg,97.93,77.16,55.35,16,110,97,32.8,50.1,0.0,25.0,9.7,18.0,0
2026-04-20T18:15,images/2026-04-20T18_15.jpg,131.4,107.3,99.48,8,62,131,31.9,65.29,0.0,25.0,9.5,19.0,0
2026-07-14T18:37,images/2026-07-14T18_37.jpg,138.31,152.86,170.75,107,48,170,30.0,73.15,0.0,37.5,10.0,4.0,1
2026-08-02T18:15,images/2026-08-02T18_15.jpg,145.55,131.18,111.02,18,60,145,30.7,68.22,0.0,30.0,10.0,33.0,1
2026-08-21T18:27,images/2026-08-21T18_27.jpg,137.14,154.32,171.7,105,51,171,30.2,72.46,0.0,81.5,7.9,109.9,2
2026-09-02T18:36,images/2026-09-02T18_36.jpg,169.66,164.44,165.0,0,8,169,29.3,78.21,0.0,72.0,8.4,25.0,2
